Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak,AwayStreak,HC,AC,Season,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,HomeGD,AwayGD,HomeForm,AwayForm,HomeStreakWeighted,AwayStreakWeighted,HomeGoals,HomeSOT,HomeCorners,AwayGoals,AwaySOT,AwayCorners,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR
2023-10-08,Brighton,Liverpool,2,2,D,0.8,0.6666666666666666,8,1,2023,76,78,78,77,84,81,84,83,8,5,1.2534120000000002,1.1682000000000001,0.8,0.7111111111111111,3.0,6.2,,2.2,6.0,,76,78,78,77,84,81,84,83
2023-10-08,Arsenal,Man City,1,0,H,0.7333333333333333,0.8,5,4,2023,83,84,81,82,87,87,84,85,9,11,1.4517138,1.3584599999999998,0.6888888888888889,0.9333333333333333,2.4,9.6,,2.6,7.8,,83,84,81,82,87,87,84,85
2023-10-21,Liverpool,Everton,2,0,H,0.6666666666666666,0.4666666666666667,12,4,2023,84,81,84,83,79,76,75,77,5,1,1.1767212000000002,0.8141326200000001,0.8222222222222222,0.37777777777777777,2.4,5.4,,1.8,4.4,,84,81,84,83,79,76,75,77
2023-10-21,Bournemouth,Wolves,1,2,A,0.13333333333333333,0.4666666666666667,3,12,2023,74,74,74,74,78,77,75,77,-13,-5,0.6152905800000001,0.87265,0.2,0.4444444444444444,0.6,4.0,,1.4,1.4,,74,74,74,74,78,77,75,77
2023-10-21,Brentford,Burnley,3,0,H,0.2,0.26666666666666666,5,5,2023,75,76,76,77,73,74,74,74,0,-9,0.8581788000000001,0.7378427700000001,0.24444444444444444,0.2222222222222222,1.2,6.0,,1.2,6.6,,75,76,76,77,73,74,74,74
2023-10-21,Man City,Brighton,2,1,H,0.6,0.6666666666666666,2,2,2023,87,87,84,85,76,78,78,77,10,8,1.2226139999999999,1.2448908000000003,0.8,0.6888888888888889,2.2,6.2,,2.6,6.6,,87,87,84,85,76,78,78,77
2023-10-21,Nott'm Forest,Luton,2,2,D,0.4,0.26666666666666666,4,2,2023,76,76,75,76,72,71,72,72,-2,-9,0.9129591,0.6044649300000001,0.4888888888888889,0.28888888888888886,0.6,3.8,,0.8,6.0,,76,76,75,76,72,71,72,72
2023-10-21,Chelsea,Arsenal,2,2,D,0.6666666666666666,0.8666666666666667,2,7,2023,78,81,79,81,83,84,81,82,5,10,1.0672155300000001,1.5875598,0.6,0.8666666666666667,1.8,5.0,,2.2,9.0,,78,81,79,81,83,84,81,82
2023-10-21,Sheffield United,Man United,1,2,A,0.06666666666666667,0.4,5,4,2023,69,73,72,72,82,84,82,82,-8,-3,0.5373459,0.9637542000000001,0.08888888888888889,0.26666666666666666,1.0,3.0,,1.0,6.6,,69,73,72,72,82,84,82,82
2023-10-23,Tottenham,Fulham,2,0,H,0.8666666666666667,0.4666666666666667,3,5,2023,83,82,79,81,77,77,76,77,10,-5,1.56201077,0.9547821,0.8666666666666667,0.4,2.4,8.2,,1.0,6.0,,83,82,79,81,77,77,76,77
2023-10-27,Crystal Palace,Tottenham,1,2,A,0.6,0.8666666666666667,11,2,2023,75,76,76,76,83,82,79,81,2,12,1.1482479000000003,1.6574889800000001,0.6,0.8222222222222222,1.0,4.0,,1.8,8.0,,75,76,76,76,83,82,79,81
2023-10-28,Chelsea,Brentford,0,2,A,0.5333333333333333,0.3333333333333333,10,1,2023,78,81,79,81,75,76,76,77,5,3,1.119249957,0.9319630770000001,0.4444444444444444,0.24444444444444444,1.6,4.2,,1.6,5.4,,78,81,79,81,75,76,76,77
2023-10-28,Arsenal,Sheffield United,5,0,H,0.7333333333333333,0.06666666666666667,6,1,2023,83,84,81,82,69,73,72,72,10,-9,1.535525373,0.48361131,0.7777777777777778,0.1111111111111111,2.0,8.0,,1.0,3.8,,83,84,81,82,69,73,72,72
2023-10-28,Bournemouth,Burnley,2,1,H,0.06666666666666667,0.26666666666666666,10,5,2023,74,74,74,74,73,74,74,74,-14,-12,0.5537615220000002,0.6640584930000001,0.1111111111111111,0.3111111111111111,0.4,4.2,,0.8,6.2,,74,74,74,74,73,74,74,74
2023-10-29,West Ham,Everton,0,1,A,0.6,0.4,4,3,2023,77,77,77,78,79,76,75,77,3,-1,1.1193389999999999,0.7327193580000001,0.6666666666666666,0.4,1.8,5.0,,1.4,4.0,,77,77,77,78,79,76,75,77
2023-10-29,Brighton,Fulham,1,1,D,0.4666666666666667,0.4666666666666667,7,3,2023,76,78,78,77,77,77,76,77,7,-7,1.1204017200000003,0.85930389,0.5111111111111111,0.5555555555555556,2.0,6.4,,0.8,6.0,,76,78,78,77,77,77,76,77
